grupo,n,churn_real,f1,precision,recall,roc_auc,taxa_alerta
gender=Female,687,0.2809,0.6409,0.5478,0.772,0.844,0.3959
gender=Male,722,0.2507,0.6271,0.5086,0.8177,0.8383,0.403
SeniorCitizen=0,1187,0.2325,0.6017,0.4976,0.7609,0.8411,0.3555
SeniorCitizen=1,222,0.4414,0.728,0.617,0.8878,0.779,0.6351
Contract=Two year,336,0.0268,0.0,0.0,0.0,0.7465,0.0
Contract=Month-to-month,773,0.4256,0.6697,0.5355,0.8936,0.7484,0.7102
Contract=One year,300,0.12,0.12,0.2143,0.0833,0.707,0.0467
tenure<=12,449,0.4788,0.7145,0.5915,0.9023,0.7668,0.7305
tenure>12,960,0.1656,0.5228,0.4383,0.6478,0.8282,0.2448
Internet=Fiber optic,613,0.4111,0.6718,0.5459,0.873,0.777,0.6574
Internet=DSL,484,0.2004,0.5764,0.5,0.6804,0.8176,0.2727
Internet=No,312,0.0801,0.4151,0.3929,0.44,0.8731,0.0897
